"Fertility, by age, by state",,,,
Measure: Births,,,,
Frequency: Annual,,,,
Unit of measure: Number,,,,
,,,,
Time Period,Time Period,2014,2015,2016
·  New South Wales,,272,314,378
·  Victoria,,231,263,314
·  Queensland,,128,153,139
·  South Australia,,43,56,70
·  Western Australia,,72,83,77
·  Tasmania,,8,13,16
·  Northern Territory,,6,6,9
·  Australian Capital Territory,,17,22,21
Age: 45,,,,
Australia,,346,381,424
·  New South Wales,,126,121,150
·  Victoria,,100,106,129
·  Queensland,,51,76,71
·  South Australia,,16,22,32
·  Western Australia,,37,40,29
·  Tasmania,,5,5,7
·  Northern Territory,,2,3,1
·  Australian Capital Territory,,7,8,5
Age: 46,,,,
Australia,,190,225,261
·  New South Wales,,67,65,93
·  Victoria,,54,69,87
·  Queensland,,29,33,29
·  South Australia,,18,18,12
·  Western Australia,,18,26,25
·  Tasmania,,1,1,1
·  Northern Territory,,2,2,5
·  Australian Capital Territory,,1,9,7
Age: 47,,,,
Australia,,94,121,136
·  New South Wales,,28,52,53
·  Victoria,,32,33,42
·  Queensland,,25,18,19
·  South Australia,,3,5,7
·  Western Australia,,1,8,8
·  Tasmania,,0,2,2
·  Northern Territory,,0,1,4
·  Australian Capital Territory,,2,1,1
Age: 48,,,,
Australia,,57,67,76
·  New South Wales,,19,24,26
·  Victoria,,22,22,21
·  Queensland,,9,12,11
·  South Australia,,4,4,8
·  Western Australia,,1,6,10
·  Tasmania,,0,0,0
·  Northern Territory,,0,0,0
·  Australian Capital Territory,,4,2,0
Age: 49,,,,
Australia,,90,116,127
·  New South Wales,,32,52,56
·  Victoria,,23,33,35
·  Queensland,,14,14,9
·  South Australia,,4,9,11
·  Western Australia,,12,2,5
·  Tasmania,,4,1,5
·  Northern Territory,,2,0,3
·  Australian Capital Territory,,2,1,5
