"Fertility, by age, by state",,,,,,
Measure: Births,,,,,,
Frequency: Annual,,,,,,
Unit of measure: Number,,,,,,
,,,,,,
Time Period,Time Period,2020,2021,2022,2023,2024
Australia,,21332,22703,21361,20018,20428
·  New South Wales,,6968,7297,6912,6387,6243
·  Victoria,,5446,5651,5443,5074,5659
·  Queensland,,4193,4562,4317,3987,3906
·  South Australia,,1362,1499,1427,1333,1407
·  Western Australia,,2341,2525,2201,2236,2143
·  Tasmania,,372,501,410,397,405
·  Northern Territory,,238,242,222,216,245
·  Australian Capital Territory,,410,423,426,384,416
Age: 31,,,,,,
Australia,,22705,24429,23057,21376,22635
·  New South Wales,,7362,7973,7494,6849,6719
·  Victoria,,5929,6334,6038,5501,6467
·  Queensland,,4342,4746,4444,4181,4444
·  South Australia,,1407,1560,1512,1424,1552
·  Western Australia,,2517,2678,2426,2328,2382
·  Tasmania,,436,428,447,446,398
·  Northern Territory,,248,245,237,216,228
·  Australian Capital Territory,,462,464,459,431,444
Age: 32,,,,,,
Australia,,22379,24134,23491,22252,22602
·  New South Wales,,7169,7911,7611,7021,6783
·  Victoria,,6136,6415,6455,6099,6522
·  Queensland,,4057,4506,4397,4142,4288
·  South Australia,,1412,1557,1551,1436,1502
·  Western Australia,,2509,2576,2431,2479,2361
·  Tasmania,,406,439,358,407,445
·  Northern Territory,,248,276,239,211,239
·  Australian Capital Territory,,441,453,448,455,461
Age: 33,,,,,,
Australia,,21307,22910,22429,21439,22293
·  New South Wales,,6951,7552,7381,7003,6831
·  Victoria,,5837,6233,6074,5864,6758
·  Queensland,,3796,4078,4135,3812,3979
·  South Australia,,1296,1451,1393,1392,1381
·  Western Australia,,2376,2492,2370,2363,2261
·  Tasmania,,383,397,365,375,399
·  Northern Territory,,224,239,228,210,232
·  Australian Capital Territory,,443,466,481,419,450
Age: 34,,,,,,
Australia,,19624,21478,20819,20086,20844
·  New South Wales,,6345,7062,6804,6576,6451
·  Victoria,,5407,5807,5880,5432,6444
·  Queensland,,3560,3879,3635,3572,3675
·  South Australia,,1266,1302,1270,1291,1198
·  Western Australia,,2108,2421,2219,2280,2104
·  Tasmania,,318,345,352,330,334
·  Northern Territory,,186,215,203,193,207
·  Australian Capital Territory,,433,447,454,411,431
Age: 35-39,,,,,,
Australia,,61364,66590,66102,63958,66608
·  New South Wales,,20369,22453,21827,20874,20851
·  Victoria,,16961,18047,18670,18026,20539
·  Queensland,,10801,11924,11731,11245,11455
·  South Australia,,3659,3909,4033,3898,3937
·  Western Australia,,6701,7173,6897,7003,6897
·  Tasmania,,925,1040,960,996,1012
·  Northern Territory,,666,650,647,586,581
·  Australian Capital Territory,,1277,1383,1329,1326,1329
Age: 35,,,,,,
Australia,,17779,19194,18862,18158,19021
·  New South Wales,,5856,6382,6205,5854,5989
·  Victoria,,4955,5272,5297,5138,5885
·  Queensland,,3095,3408,3343,3170,3230
·  South Australia,,1054,1117,1184,1164,1095
·  Western Australia,,1991,2123,1942,1960,1972
·  Tasmania,,271,291,313,323,312
·  Northern Territory,,188,181,180,158,157
·  Australian Capital Territory,,367,419,396,390,381
Age: 36,,,,,,
Australia,,14970,16159,15906,15376,16170
·  New South Wales,,4892,5400,5236,5051,4974
·  Victoria,,4105,4353,4487,4370,5035
·  Queensland,,2652,2933,2861,2657,2819
·  South Australia,,924,958,969,943,1000
·  Western Australia,,1670,1745,1646,1728,1628
·  Tasmania,,234,276,236,204,236
·  Northern Territory,,185,148,148,139,142
·  Australian Capital Territory,,308,344,319,283,333
Age: 37,,,,,,
Australia,,11993,13148,13099,12698,13176
·  New South Wales,,4019,4535,4229,4182,4145
·  Victoria,,3316,3495,3767,3571,4043
·  Queensland,,2173,2356,2301,2258,2248
·  South Australia,,685,759,808,739,753
·  Western Australia,,1250,1359,1421,1402,1392
·  Tasmania,,174,216,176,190,202
·  Northern Territory,,113,135,138,112,116
·  Australian Capital Territory,,263,288,257,244,276
Age: 38,,,,,,
Australia,,9419,10309,10249,10041,10349
·  New South Wales,,3160,3475,3465,3222,3217
·  Victoria,,2584,2853,2855,2837,3158
·  Queensland,,1621,1839,1833,1807,1794
·  South Australia,,575,608,593,601,630
·  Western Australia,,1031,1089,1078,1088,1103
·  Tasmania,,144,152,123,173,152
·  Northern Territory,,99,100,93,95,99
·  Australian Capital Territory,,203,190,209,218,193
Age: 39,,,,,,
Australia,,7203,7780,7986,7685,7892
·  New South Wales,,2442,2661,2692,2565,2526
·  Victoria,,2001,2074,2264,2110,2418
·  Queensland,,1260,1388,1393,1353,1364
·  South Australia,,421,467,479,451,459
·  Western Australia,,759,857,810,825,802
·  Tasmania,,102,105,112,106,110
·  Northern Territory,,81,86,88,82,67
·  Australian Capital Territory,,136,142,148,191,146
Age: 40-44,,,,,,
Australia,,12396,13114,13634,13581,14437
·  New South Wales,,4233,4569,4713,4558,4579
·  Victoria,,3435,3576,3807,3779,4465
·  Queensland,,2220,2265,2374,2461,2473
·  South Australia,,682,742,827,820,865
·  Western Australia,,1244,1363,1336,1394,1421
·  Tasmania,,195,183,189,182,209
·  Northern Territory,,130,126,127,126,149
·  Australian Capital Territory,,256,287,259,255,276
Age: 40,,,,,,
Australia,,5011,5459,5563,5519,5906
·  New South Wales,,1698,1902,1914,1850,1828
·  Victoria,,1391,1522,1561,1525,1807
·  Queensland,,896,902,966,992,1061
·  South Australia,,271,317,346,337,355
·  Western Australia,,501,561,553,594,584
·  Tasmania,,85,63,80,70,79
·  Northern Territory,,63,56,50,48,65
·  Australian Capital Territory,,106,135,92,100,127
Age: 41,,,,,,
Australia,,3318,3578,3766,3690,3855
·  New South Wales,,1126,1234,1286,1219,1223
·  Victoria,,897,957,1067,1046,1233
·  Queensland,,640,638,646,670,618
·  South Australia,,172,201,226,236,230
·  Western Australia,,341,377,374,357,389
·  Tasmania,,50,59,56,55,55
·  Northern Territory,,26,36,41,39,41
·  Australian Capital Territory,,66,75,69,67,66
Age: 42,,,,,,
Australia,,2148,2219,2312,2291,2488
·  New South Wales,,738,737,796,778,802
·  Victoria,,610,622,652,619,736
·  Queensland,,369,394,399,440,440
·  South Australia,,122,119,142,122,160
·  Western Australia,,219,254,241,232,241
·  Tasmania,,28,31,19,31,42
·  Northern Territory,,21,18,12,19,23
·  Australian Capital Territory,,40,43,51,48,44
Age: 43,,,,,,
Australia,,1220,1202,1253,1326,1408
·  New South Wales,,422,449,468,465,465
·  Victoria,,348,307,321,367,457
·  Queensland,,203,216,218,225,224
·  South Australia,,72,67,77,80,71
·  Western Australia,,118,109,104,135,132
·  Tasmania,,18,21,20,17,20
·  Northern Territory,,8,10,17,15,13
·  Australian Capital Territory,,31,23,28,22,26
Age: 44,,,,,,
Australia,,699,656,740,755,780
·  New South Wales,,249,247,249,246,261
