"Fertility, by age, by state",,,,,,,,,,,
Measure: Births,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,
,,,,,,,,,,,
Time Period,Time Period,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Region,,,,,,,,,,,
Age: All ages,,,,,,,,,,,
Australia,,18834,17588,17073,16737,16291,16051,15588,15885,15306,14232
·  New South Wales,,6430,5893,5898,5568,5456,5469,5426,5473,5261,5044
·  Victoria,,4794,4461,4331,4292,4063,3861,3588,3761,3457,3145
·  Queensland,,3257,3078,2915,2973,2923,2962,3034,3074,3135,2847
·  South Australia,,1476,1467,1293,1326,1238,1190,1168,1130,1050,984
·  Western Australia,,1825,1698,1649,1613,1641,1653,1507,1541,1561,1422
·  Tasmania,,508,466,471,461,481,416,386,418,373,362
·  Northern Territory,,224,200,196,198,220,229,208,220,216,190
·  Australian Capital Territory,,320,325,320,303,266,268,263,266,252,234
Age: 27,,,,,,,,,,,
Australia,,20544,19237,18725,17735,17259,17044,17132,16890,17049,16407
·  New South Wales,,7054,6405,6401,6045,5812,5648,5779,5807,5807,5900
·  Victoria,,5337,4991,4871,4576,4361,4239,4241,4105,4220,3669
·  Queensland,,3445,3293,3228,3104,3122,3183,3102,3097,3243,3131
·  South Australia,,1620,1513,1375,1341,1357,1306,1287,1229,1188,1156
·  Western Australia,,2022,1972,1848,1655,1642,1698,1707,1709,1637,1667
·  Tasmania,,574,502,499,481,460,436,439,420,444,421
·  Northern Territory,,176,212,184,212,211,220,255,239,246,192
·  Australian Capital Territory,,316,349,319,320,288,311,319,282,262,268
Age: 28,,,,,,,,,,,
Australia,,21016,20082,19941,19049,18168,17813,17711,17793,17917,18342
·  New South Wales,,7242,6857,7043,6454,6100,6034,5944,6080,6136,6341
·  Victoria,,5520,5266,5106,4895,4724,4674,4512,4471,4370,4518
·  Queensland,,3511,3354,3406,3354,3172,3128,3134,3234,3319,3373
·  South Australia,,1615,1532,1480,1470,1382,1403,1354,1330,1364,1359
·  Western Australia,,1983,1978,1840,1835,1824,1648,1814,1773,1763,1808
·  Tasmania,,572,528,504,487,447,427,447,404,411,424
·  Northern Territory,,220,212,201,230,202,208,194,216,243,228
·  Australian Capital Territory,,353,355,361,323,316,287,308,283,309,290
Age: 29,,,,,,,,,,,
Australia,,20645,19486,20184,19731,18760,18255,17815,17986,18344,18320
·  New South Wales,,7127,6623,6999,6653,6352,6144,5945,6089,6220,6299
·  Victoria,,5489,5250,5342,5232,4924,4808,4635,4619,4711,4638
·  Queensland,,3447,3149,3365,3373,3244,3094,3250,3219,3257,3317
·  South Australia,,1546,1507,1444,1529,1460,1443,1361,1362,1398,1342
·  Western Australia,,1896,1927,1940,1924,1789,1755,1697,1760,1815,1756
·  Tasmania,,541,468,553,481,485,454,432,402,407,422
·  Northern Territory,,220,221,220,215,186,232,181,207,223,257
·  Australian Capital Territory,,379,341,321,322,317,321,311,319,312,288
Age: 30-34,,,,,,,,,,,
Australia,,70600,71312,75760,77004,77071,77437,76435,76205,75876,76774
·  New South Wales,,24213,24377,26545,26403,26318,26623,25908,26253,25628,26198
·  Victoria,,19531,19421,20263,20360,20650,20493,20378,20158,20406,20338
·  Queensland,,11103,11476,12337,12910,12803,12901,13149,12842,13083,13071
·  South Australia,,5199,5367,5644,6136,6001,6048,5835,5799,5755,5825
·  Western Australia,,6794,6790,7020,7300,7230,7365,7279,7408,7338,7559
·  Tasmania,,1728,1721,1810,1780,1852,1834,1751,1612,1605,1628
·  Northern Territory,,760,770,784,764,793,816,784,741,791,775
·  Australian Capital Territory,,1272,1390,1357,1342,1409,1343,1329,1380,1253,1368
Age: 30,,,,,,,,,,,
Australia,,18699,18931,19147,19320,18464,18063,17439,17575,17501,18026
·  New South Wales,,6306,6343,6754,6544,6256,6061,5754,6006,5888,5940
·  Victoria,,5120,5180,5005,5026,4886,4802,4679,4620,4658,4739
·  Queensland,,3029,3073,3188,3381,3097,3057,3092,2995,3098,3215
·  South Australia,,1414,1440,1460,1552,1461,1456,1353,1329,1335,1403
·  Western Australia,,1815,1821,1792,1881,1761,1745,1673,1748,1684,1808
·  Tasmania,,516,498,432,424,464,429,404,401,381,406
·  Northern Territory,,182,219,196,190,184,185,184,149,179,180
·  Australian Capital Territory,,317,357,320,319,350,324,296,323,276,330
Age: 31,,,,,,,,,,,
Australia,,16363,16550,17757,17633,17534,17362,16973,16539,16606,16898
·  New South Wales,,5613,5701,6125,6162,5923,5988,5696,5573,5519,5802
·  Victoria,,4512,4390,4777,4603,4710,4519,4563,4395,4530,4421
·  Queensland,,2562,2730,2998,2955,2978,2904,2924,2870,2856,2898
·  South Australia,,1193,1257,1304,1354,1343,1341,1305,1227,1263,1287
·  Western Australia,,1618,1573,1626,1669,1632,1664,1611,1609,1618,1649
·  Tasmania,,383,401,444,418,441,433,413,385,359,363
·  Northern Territory,,189,189,154,168,182,202,160,178,185,198
·  Australian Capital Territory,,293,309,329,303,321,305,294,301,272,277
Age: 32,,,,,,,,,,,
Australia,,14382,14042,15299,16016,15854,16149,15846,15492,15413,15363
·  New South Wales,,4984,4803,5410,5527,5383,5520,5369,5331,5178,5211
·  Victoria,,3955,3882,4168,4244,4347,4320,4228,4105,4141,4064
·  Queensland,,2248,2286,2443,2626,2626,2699,2688,2564,2670,2646
·  South Australia,,1084,1034,1113,1276,1205,1205,1216,1242,1203,1165
·  Western Australia,,1350,1321,1380,1489,1477,1591,1506,1516,1481,1537
·  Tasmania,,347,318,357,412,357,373,381,305,309,319
·  Northern Territory,,156,131,155,167,168,176,179,147,160,152
·  Australian Capital Territory,,258,267,273,274,287,263,276,281,263,266
Age: 33,,,,,,,,,,,
Australia,,11667,12080,12955,13199,13845,13951,14076,14091,13839,13956
·  New South Wales,,3997,4220,4495,4433,4772,4914,4815,4927,4674,4885
·  Victoria,,3291,3266,3456,3582,3733,3666,3717,3727,3759,3746
·  Queensland,,1816,1908,2064,2210,2251,2302,2446,2322,2345,2312
·  South Australia,,850,885,1006,1079,1089,1060,1064,1110,1059,1034
·  Western Australia,,1076,1140,1242,1235,1285,1328,1353,1341,1354,1317
·  Tasmania,,284,282,329,285,318,315,300,282,298,265
·  Northern Territory,,133,116,138,133,146,126,131,135,134,143
·  Australian Capital Territory,,220,263,225,239,251,240,245,245,214,253
Age: 34,,,,,,,,,,,
Australia,,9489,9709,10602,10836,11374,11912,12101,12508,12517,12531
·  New South Wales,,3313,3310,3761,3737,3984,4140,4274,4416,4369,4360
·  Victoria,,2653,2703,2857,2905,2974,3186,3191,3311,3318,3368
·  Queensland,,1448,1479,1644,1738,1851,1939,1999,2091,2114,2000
·  South Australia,,658,751,761,875,903,986,897,891,895,936
·  Western Australia,,935,935,980,1026,1075,1037,1136,1194,1201,1248
·  Tasmania,,198,222,248,241,272,284,253,239,258,275
·  Northern Territory,,100,115,141,106,113,127,130,132,133,102
·  Australian Capital Territory,,184,194,210,207,200,211,218,230,228,242
Age: 35-39,,,,,,,,,,,
Australia,,22740,23875,25947,26728,28640,30117,31864,33293,34223,35462
·  New South Wales,,8256,8416,9422,9503,10091,10627,11326,11865,11856,12644
·  Victoria,,6236,6657,7081,7117,7746,7975,8312,8802,9184,9375
·  Queensland,,3459,3630,3979,4197,4558,4804,5247,5407,5620,5751
·  South Australia,,1502,1625,1912,2169,2246,2386,2478,2607,2635,2574
·  Western Australia,,2118,2217,2270,2444,2582,2790,2935,3103,3263,3348
·  Tasmania,,477,524,541,534,583,670,606,592,708,700
·  Northern Territory,,251,294,294,277,305,312,348,338,356,367
·  Australian Capital Territory,,441,512,448,481,525,548,606,571,595,692
Age: 35,,,,,,,,,,,
Australia,,7707,7781,8501,8589,9099,9657,10164,10362,10570,10798
·  New South Wales,,2801,2660,3065,3081,3178,3392,3480,3607,3641,3791
·  Victoria,,2109,2157,2286,2312,2444,2586,2723,2701,2899,2930
·  Queensland,,1143,1241,1306,1338,1491,1582,1709,1747,1766,1754
·  South Australia,,525,541,640,682,683,705,803,817,789,765
·  Western Australia,,741,720,785,759,835,895,960,997,990,1010
·  Tasmania,,171,177,176,163,188,213,202,200,218,213
·  Northern Territory,,82,96,96,88,95,110,104,118,103,107
·  Australian Capital Territory,,135,189,147,164,182,173,181,172,163,224
Age: 36,,,,,,,,,,,
